City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Avarua,80,CK,1566676959,78,-21.21,-159.78,77.0,8.05
Shenjiamen,66,CN,1566676960,87,29.96,122.3,82.64,13.96
Magadan,99,RU,1566676961,95,59.56,150.8,52.76,4.54
Barrow,67,AR,1566676963,63,-38.31,-60.23,59.78,9.51
Atuona,4,PF,1566676965,70,-9.8,-139.03,79.22,12.77
Pangody,100,RU,1566676966,91,65.85,74.49,48.98,23.98
Dwarka,40,IN,1566676968,88,28.58,77.04,80.6,4.7
Lompoc,1,US,1566676969,68,34.64,-120.46,86.0,13.87
Juneau,90,US,1566676802,87,58.3,-134.42,57.2,5.82
Norman Wells,75,CA,1566676973,76,65.28,-126.83,51.8,16.11
Hithadhoo,100,MV,1566676975,71,-0.6,73.08,82.46,8.23
Fairbanks,75,US,1566676976,81,64.84,-147.72,53.01,4.25
Hambantota,100,LK,1566676978,80,6.12,81.12,80.66,18.59
Kapaa,75,US,1566676970,48,22.08,-159.32,87.8,5.82
Punta Arenas,75,CL,1566676982,75,-53.16,-70.91,46.4,10.29
Port Alfred,0,ZA,1566676983,78,-33.59,26.89,63.0,1.99
Arroyo,80,BO,1566676985,41,-11.08,-66.08,95.0,8.05
Cassilandia,0,BR,1566676870,23,-19.11,-51.73,82.28,7.34
Mataura,50,NZ,1566676988,85,-46.19,168.86,45.0,1.01
Kandrian,100,PG,1566676989,90,-6.21,149.55,72.56,8.52
Bethel,90,US,1566676991,81,60.79,-161.76,53.6,5.82
East London,0,ZA,1566676857,25,-33.02,27.91,65.54,5.37
Bonga,29,ET,1566676993,98,7.26,36.25,53.66,1.34
Hobart,75,AU,1566676754,98,-42.88,147.33,43.0,6.93
Katsuura,75,JP,1566676995,83,33.93,134.5,72.0,6.93
Busselton,100,AU,1566676997,58,-33.64,115.35,46.0,11.36
Ushuaia,75,AR,1566676913,66,-54.81,-68.31,48.2,12.75
Aklavik,75,CA,1566676999,70,68.22,-135.01,46.4,13.87
Riyadh,0,SA,1566676961,16,24.63,46.72,95.0,5.82
Esperance,40,AU,1566677002,81,-33.86,121.89,42.8,8.05
Falavarjan,0,IR,1566677003,12,32.56,51.51,73.4,6.93
Karratha,0,AU,1566677005,45,-20.74,116.85,62.48,7.09
Lorengau,21,PG,1566677006,84,-2.02,147.27,80.12,10.27
Makakilo City,75,US,1566677008,69,21.35,-158.09,87.01,9.17
Husavik,100,CA,1566677009,41,50.56,-96.99,84.99,5.99
Kaitangata,73,NZ,1566677010,67,-46.28,169.85,46.0,1.99
Marsh Harbour,100,BS,1566677011,74,26.54,-77.06,81.38,16.11
Puerto Escondido,20,MX,1566677013,70,15.86,-97.07,87.8,9.17
Sarangarh,100,IN,1566677014,95,21.6,83.08,75.8,5.95
Verkhoyansk,28,RU,1566677016,76,67.55,133.39,53.66,2.82
Victoria,75,BN,1566676807,83,5.28,115.24,80.6,12.95
Klaksvik,100,FO,1566677019,93,62.23,-6.59,51.8,16.11
